MSN,StateCode,Year,Data
ARICP,US,2008,152497
ARICP,US,2009,131568
ARICP,US,2010,132274
ARICP,US,2011,129519
ARICP,US,2012,124578
ARICP,US,2013,118045
ARICP,US,2014,119445
ARICP,US,2015,125326
ARICV,US,1971,878
ARICV,US,1976,1856
ARICV,US,2005,6969
ARICV,US,2010,11518
ARICV,US,2015,10862
ARTCB,US,1960,733782
ARTCB,US,1961,753551
ARTCB,US,1962,803533
ARTCB,US,1963,824642
ARTCB,US,1964,840781
ARTCB,US,1965,890266
ARTCB,US,1966,935557
ARTCB,US,1967,917215
ARTCB,US,1968,983661
ARTCB,US,1969,1008977
ARTCB,US,1970,1082451
ARTCB,US,1971,1108298
ARTCB,US,1972,1136919
ARTCB,US,1973,1263720
ARTCB,US,1974,1165375
ARTCB,US,1975,1014226
ARTCB,US,1976,998121
ARTCB,US,1977,1056365
ARTCB,US,1978,1159621
ARTCB,US,1979,1153032
ARTCB,US,1980,962207
ARTCB,US,1981,827788
ARTCB,US,1982,829407
ARTCB,US,1983,904095
ARTCB,US,1984,992095
ARTCB,US,1985,1029482
ARTCB,US,1986,1085736
ARTCB,US,1987,1130011
ARTCB,US,1988,1136322
ARTCB,US,1989,1096028
ARTCB,US,1990,1170192
ARTCB,US,1991,1076538
ARTCB,US,1992,1102220
ARTCB,US,1993,1149017
ARTCB,US,1994,1172920
ARTCB,US,1995,1178175
ARTCB,US,1996,1175932
ARTCB,US,1997,1223566
ARTCB,US,1998,1262552
ARTCB,US,1999,1324413
ARTCB,US,2000,1275678
ARTCB,US,2001,1256865
ARTCB,US,2002,1239950
ARTCB,US,2003,1219538
ARTCB,US,2004,1303848
ARTCB,US,2005,1323238
ARTCB,US,2006,1261165
ARTCB,US,2007,1197041
ARTCB,US,2008,1011970
ARTCB,US,2009,873085
ARTCB,US,2010,877770
ARTCB,US,2011,859488
ARTCB,US,2012,826700
ARTCB,US,2013,783347
ARTCB,US,2014,792637
ARTCB,US,2015,831663
ARTCP,US,1960,110576
ARTCP,US,1961,113555
ARTCP,US,1962,121087
ARTCP,US,1963,124268
ARTCP,US,1964,126700
ARTCP,US,1965,134157
ARTCP,US,1966,140982
ARTCP,US,1967,138218
ARTCP,US,1968,148231
ARTCP,US,1969,152046
ARTCP,US,1970,163118
ARTCP,US,1971,167013
ARTCP,US,1972,171326
ARTCP,US,1973,190434
ARTCP,US,1974,175614
ARTCP,US,1975,152837
ARTCP,US,1976,150410
ARTCP,US,1977,159187
ARTCP,US,1978,174747
ARTCP,US,1979,173754
ARTCP,US,1980,144998
ARTCP,US,1981,124742
ARTCP,US,1982,124986
ARTCP,US,1983,136241
ARTCP,US,1984,149502
ARTCP,US,1985,155136
ARTCP,US,1986,163613
ARTCP,US,1987,170285
ARTCP,US,1988,171236
ARTCP,US,1989,165164
ARTCP,US,1990,176340
ARTCP,US,1991,162227
ARTCP,US,1992,166097
ARTCP,US,1993,173149
ARTCP,US,1994,176751
ARTCP,US,1995,177543
ARTCP,US,1996,177205
ARTCP,US,1997,184383
ARTCP,US,1998,190258
ARTCP,US,1999,199580
ARTCP,US,2000,192236
ARTCP,US,2001,189401
ARTCP,US,2002,186852
ARTCP,US,2003,183776
ARTCP,US,2004,196481
ARTCP,US,2005,199403
ARTCP,US,2006,190049
ARTCP,US,2007,180386
ARTCP,US,2008,152497
ARTCP,US,2009,131568
ARTCP,US,2010,132274
ARTCP,US,2011,129519
ARTCP,US,2012,124578
ARTCP,US,2013,118045
ARTCP,US,2014,119445
ARTCP,US,2015,125326
ARTCV,US,1971,878
ARTCV,US,1976,1856
ARTCV,US,2005,6969
ARTCV,US,2010,11518
ARTCV,US,2015,10862
ARTXB,US,1960,733782
ARTXB,US,1961,753551
ARTXB,US,1962,803533
ARTXB,US,1963,824642
ARTXB,US,1964,840781
ARTXB,US,1965,890266
ARTXB,US,1966,935557
ARTXB,US,1967,917215
ARTXB,US,1968,983661
ARTXB,US,1969,1008977
ARTXB,US,1970,1082451
ARTXB,US,1971,1108298
ARTXB,US,1972,1136919
ARTXB,US,1973,1263720
ARTXB,US,1974,1165375
ARTXB,US,1975,1014226
ARTXB,US,1976,998121
ARTXB,US,1977,1056365
ARTXB,US,1978,1159621
ARTXB,US,1979,1153032
ARTXB,US,1980,962207
ARTXB,US,1981,827788
ARTXB,US,1982,829407
ARTXB,US,1983,904095
ARTXB,US,1984,992095
ARTXB,US,1985,1029482
ARTXB,US,1986,1085736
ARTXB,US,1987,1130011
ARTXB,US,1988,1136322
ARTXB,US,1989,1096028
ARTXB,US,1990,1170192
ARTXB,US,1991,1076538
ARTXB,US,1992,1102220
ARTXB,US,1993,1149017
ARTXB,US,1994,1172920
ARTXB,US,1995,1178175
ARTXB,US,1996,1175932
ARTXB,US,1997,1223566
ARTXB,US,1998,1262552
ARTXB,US,1999,1324413
ARTXB,US,2000,1275678
ARTXB,US,2001,1256865
ARTXB,US,2002,1239950
