StateCode,Year,FFTCB(TOTAL),CLTCB(COAL),NNTCB(NATURALGAS),PMTCB(PETROLEUM)
UT,1960,291003,90967,72441,127596
UT,1961,287877,81964,79168,126745
UT,1962,290191,65575,87938,136678
UT,1963,287136,62411,88494,136231
UT,1964,306819,71031,99071,136717
UT,1965,317513,75449,99810,142254
UT,1966,329162,79119,95740,154303
UT,1967,321061,72396,97068,151597
UT,1968,336894,73920,101626,161349
UT,1969,359485,78445,110888,170153
UT,1970,358986,78777,114377,165832
UT,1971,372586,78743,113876,179967
UT,1972,380438,77580,116399,186459
UT,1973,405660,98848,116335,190476
UT,1974,422664,107648,115206,199810
UT,1975,437633,115740,117952,203941
UT,1976,447599,101774,138603,207222
UT,1977,445777,132845,100999,211934
UT,1978,474079,143943,113322,216814
UT,1979,505402,170907,120980,213515
UT,1980,493660,168254,124990,200417
UT,1981,453862,175686,109703,168473
UT,1982,436839,159560,110526,166753
UT,1983,455608,160238,118449,176921
UT,1984,485981,185637,124247,176097
UT,1985,497248,199366,123750,174131
UT,1986,476900,188954,99706,188240
UT,1987,573002,273790,106906,192306
UT,1988,652501,337985,117778,196739
UT,1989,663353,349724,123414,190214
UT,1990,687041,366842,126913,193286
UT,1991,692204,344365,142458,205381
UT,1992,697190,363056,132362,201772
UT,1993,726280,370982,149255,206042
UT,1994,738111,380866,146416,210829
UT,1995,756601,361424,166860,228316
UT,1996,770688,359984,168059,242646
UT,1997,792986,375105,172248,245634
UT,1998,824579,396129,177960,250490
UT,1999,810023,384060,169255,256709
UT,2000,844650,403068,173439,268142
UT,2001,812761,384453,167582,260726
UT,2002,801475,370551,172366,258558
UT,2003,819158,379185,163527,276446
UT,2004,841464,399704,164154,277606
UT,2005,862094,405546,168770,287779
UT,2006,891352,382757,197894,310701
UT,2007,922324,391386,231125,299812
UT,2008,912984,395878,237414,279692
UT,2009,853943,364994,223646,265304
UT,2010,847670,356148,229078,262443
UT,2011,858596,346181,230672,281744
UT,2012,829631,322055,232630,274946
UT,2013,897683,355230,258661,283792
UT,2014,875823,344054,251649,280120
UT,2015,847353,330043,240939,276370
VA,1960,827180,316395,68431,442354
VA,1961,830736,328073,73034,429629
VA,1962,867223,345482,79884,441857
VA,1963,915213,360181,86240,468792
VA,1964,941625,370395,91963,479267
VA,1965,998576,386296,98615,513665
VA,1966,1045712,386377,125287,534048
VA,1967,1045345,369977,119364,556005
VA,1968,1094666,383807,125708,585151
VA,1969,1122030,328714,132739,660577
VA,1970,1161145,275311,140072,745761
VA,1971,1190040,230247,147758,812034
VA,1972,1219494,198893,159705,860897
VA,1973,1236975,195912,156669,884395
VA,1974,1177296,176954,146811,853531
VA,1975,1117306,169188,123625,824492
VA,1976,1184860,202247,125855,856758
VA,1977,1208806,187029,120734,901042
VA,1978,1186077,170626,136935,878517
VA,1979,1237290,213734,136958,886599
VA,1980,1130816,231849,160886,738081
VA,1981,1067735,264301,154925,648509
VA,1982,1018456,259723,154574,604158
VA,1983,1050367,275468,146846,628053
VA,1984,1127734,306947,148534,672254
VA,1985,1125166,297127,144466,683572
VA,1986,1191444,303266,146586,741592
VA,1987,1278041,337881,165106,775054
VA,1988,1315740,342900,169565,803275
VA,1989,1353122,384191,180403,788528
VA,1990,1299737,355067,192022,752648
VA,1991,1299857,379934,188469,731453
VA,1992,1325552,379542,220950,725060
VA,1993,1388834,397271,248412,743151
VA,1994,1387566,371724,260366,755476
VA,1995,1420947,385108,283873,751966
VA,1996,1466703,428703,269837,768163
VA,1997,1493003,432781,259571,800651
VA,1998,1522577,438490,271387,812700
VA,1999,1560143,444542,287144,828457
VA,2000,1655409,506961,277688,870759
VA,2001,1623928,487601,246406,889922
VA,2002,1605983,482759,266853,856370
VA,2003,1671416,464353,272055,935009
VA,2004,1734492,452557,285607,996328
VA,2005,1769449,458452,311537,999460
VA,2006,1676563,433606,283456,959501
VA,2007,1749379,458200,331018,960161
VA,2008,1598053,415102,310647,872304
VA,2009,1478445,334605,330369,813471
VA,2010,1535570,346161,385768,803641
VA,2011,1431324,288348,383436,759540
VA,2012,1432361,222270,424000,786092
VA,2013,1510389,290508,433438,786442
VA,2014,1499982,278183,438697,783102
VA,2015,1528847,232427,525100,771321
VT,1960,50166,3507,0,46659
VT,1961,54410,3906,0,50504
VT,1962,55537,3019,0,52518
VT,1963,55895,3352,0,52543
VT,1964,52322,2730,0,49592
VT,1965,61642,2707,0,58935
VT,1966,67435,2198,906,64331
VT,1967,67172,2059,1374,63739
VT,1968,71212,1884,1674,67654
VT,1969,74228,2074,2391,69763
VT,1970,78709,2129,2679,73901
VT,1971,78681,1942,3066,73673
VT,1972,82598,1355,3817,77426
VT,1973,84617,1473,4212,78933
VT,1974,76205,1469,4785,69951
VT,1975,73743,744,4005,68994
VT,1976,83273,579,3700,78993
VT,1977,82763,719,4025,78020
VT,1978,82528,477,3819,78232
VT,1979,76426,595,4398,71434
VT,1980,66142,537,3951,61655
VT,1981,64041,1030,4352,58659
VT,1982,58709,1264,4340,53104
VT,1983,63443,1164,4324,57954
VT,1984,71924,1394,4829,65701
VT,1985,75414,1982,4958,68474
VT,1986,74800,653,4954,69194
VT,1987,81150,315,5113,75723
VT,1988,84328,284,5494,78549
VT,1989,83877,236,6064,77576
VT,1990,78902,201,6678,72022
VT,1991,84865,307,6982,77576
VT,1992,90075,508,7570,81998
VT,1993,88883,145,7221,81517
VT,1994,88087,124,7274,80689
VT,1995,87885,74,7259,80552
VT,1996,92156,42,7461,84653
VT,1997,97615,2695,8309,86611
VT,1998,91024,53,7827,83144
VT,1999,93992,2016,8128,83849
VT,2000,98766,26,10545,88195
VT,2001,97301,50,7909,89341
VT,2002,93027,25,8399,84603
VT,2003,95595,25,8441,87130
VT,2004,104101,25,8708,95367
VT,2005,99033,25,8396,90611
VT,2006,96907,27,8062,88817
VT,2007,95792,34,8874,86885
VT,2008,86292,0,8665,77627
VT,2009,93326,0,8679,84647
VT,2010,90295,0,8501,81794
VT,2011,88826,0,8677,80149
VT,2012,84128,0,8287,75841
VT,2013,89097,0,9743,79355
VT,2014,90382,0,10853,79529
VT,2015,94237,0,12245,81992
WA,1960,439293,15231,67207,356855
WA,1961,451609,15709,72805,363095
WA,1962,473211,15652,84281,373278
WA,1963,486541,13194,93433,379914
WA,1964,518954,11827,113935,393192
WA,1965,534194,12134,116216,405844
WA,1966,568277,11134,124827,432316
WA,1967,591240,8265,135245,447730
WA,1968,653786,6977,148065,498744
WA,1969,677041,7065,153481,516495
WA,1970,670832,5860,158242,506730
WA,1971,692114,6396,165279,520439
WA,1972,772348,36581,179823,555945
WA,1973,845765,64974,207952,572839
WA,1974,784636,54167,191311,539159
WA,1975,796380,76241,171236,548903
WA,1976,794507,81205,154881,558421
WA,1977,852021,102385,149077,600559
WA,1978,839803,84724,133338,621741
WA,1979,886032,99003,165950,621079
WA,1980,821239,90956,135451,594833
WA,1981,822977,90872,131176,600930
WA,1982,770562,74069,114396,582096
WA,1983,716041,80210,111791,524040
WA,1984,813345,82282,131958,599104
WA,1985,841262,93669,139974,607620
WA,1986,861191,63279,121783,676129
WA,1987,933380,95700,136071,701609
WA,1988,985187,99099,150514,735574
WA,1989,1026180,96650,167828,761702
WA,1990,1016315,85575,167430,763310
WA,1991,1030061,89085,179237,761740
WA,1992,1134515,106087,180583,847845
WA,1993,1087426,97804,229613,760010
WA,1994,1165942,106884,263176,795882
WA,1995,1150375,69790,264474,816111
WA,1996,1195795,90901,283909,820985
WA,1997,1172088,80465,268141,823481
WA,1998,1230133,103476,303307,823350
WA,1999,1248464,96875,302262,849327
WA,2000,1240107,106240,297569,836298
WA,2001,1191573,99441,322413,769718
WA,2002,1078502,100832,240494,737176
WA,2003,1097636,118207,255839,723590
WA,2004,1132016,112539,269572,749905
WA,2005,1153564,112284,272167,769113
WA,2006,1136223,69150,271034,796039
WA,2007,1196545,95737,279429,821379
WA,2008,1170135,94601,307085,768449
WA,2009,1138883,84048,319739,735096
WA,2010,1115874,94934,294871,726070
WA,2011,1042394,56951,272261,713181
WA,2012,1049491,42656,271947,734888
WA,2013,1113555,74955,327840,710760
WA,2014,1092097,76547,320167,695383
WA,2015,1131524,58273,327992,745259
WI,1960,790987,304624,93792,392571
WI,1961,816414,307795,117658,390961
WI,1962,856218,310326,141294,404597
WI,1963,886592,319255,156163,411174
WI,1964,918337,333408,173946,410982
WI,1965,964576,347925,204093,412558
WI,1966,1030785,370695,229393,430696
WI,1967,1073692,360809,253737,459146
WI,1968,1109910,356191,278560,475159
WI,1969,1188680,373891,324186,490602
WI,1970,1235976,381558,344241,510176
WI,1971,1205535,337268,354746,513520
WI,1972,1192894,333641,326921,532332
WI,1973,1234950,310735,373480,550735
WI,1974,1192793,278640,386865,527288
WI,1975,1168641,272045,372097,524499
WI,1976,1194785,303970,320512,570303
WI,1977,1244917,307515,354397,583004
WI,1978,1277575,296054,375286,606235
WI,1979,1258434,321063,372258,565113
WI,1980,1157148,327310,354670,475168
WI,1981,1094896,327327,327529,440040
WI,1982,1077423,324150,315738,437535
WI,1983,1085935,352824,301789,431322
WI,1984,1112103,363416,307510,441176
WI,1985,1109715,360704,311434,437576
WI,1986,1095054,371384,281636,442035
WI,1987,1115260,386561,281599,447100
WI,1988,1192758,394074,319681,479004
WI,1989,1210088,389885,332744,487460
WI,1990,1184418,394460,311236,478723
WI,1991,1218017,405601,333844,478571
WI,1992,1206453,395035,334867,476550
WI,1993,1257660,403278,352381,502001
WI,1994,1300697,424867,360440,515390
WI,1995,1346432,441615,385340,519478
WI,1996,1406899,454596,408079,544224
WI,1997,1437818,486597,404955,546266
WI,1998,1410287,472029,372061,566197
WI,1999,1474177,480722,385142,608313
WI,2000,1498029,499233,397553,601243
WI,2001,1461804,494043,363022,604738
WI,2002,1482040,491990,388007,602044
WI,2003,1466590,488239,397869,580482
WI,2004,1491919,499212,385999,606708
WI,2005,1535462,522521,415583,597358
WI,2006,1429893,462732,376559,590602
WI,2007,1454860,465083,403947,585831
WI,2008,1455637,480712,415109,559816
WI,2009,1339038,425941,392485,520612
WI,2010,1361142,458442,376627,526073
WI,2011,1359937,447370,399247,513320
WI,2012,1283214,373281,410305,499627
WI,2013,1419090,454554,454050,510486
WI,2014,1438990,417096,479396,542498
WI,2015,1415073,408189,477002,529883
WV,1960,636808,354418,155554,126836
WV,1961,686775,386400,168291,132084
WV,1962,690506,391870,159207,139429
WV,1963,732115,438083,163925,130107
WV,1964,770275,467210,172374,130690
WV,1965,790639,477365,176111,137163
WV,1966,840206,520023,179195,140988
WV,1967,841327,543103,157423,140801
WV,1968,939950,601879,189957,148114
WV,1969,950956,624054,176295,150607
WV,1970,953449,612375,186535,154540
WV,1971,963198,618797,183553,160847
WV,1972,1092358,716520,204916,170922
WV,1973,1180495,810162,191905,178428
WV,1974,1209611,841804,186565,181242
WV,1975,1180069,817441,164297,198331
WV,1976,1246024,872351,157204,216469
WV,1977,1233897,847721,150605,235570
WV,1978,1167432,785705,156607,225120
WV,1979,1215178,828830,152059,234290
WV,1980,1223347,857779,147624,217943
WV,1981,1237377,877497,154468,205413
WV,1982,1136633,807953,136141,192540
WV,1983,1144644,826149,120214,198280
WV,1984,1229175,898445,130959,199771
WV,1985,1191271,871750,125018,194503
WV,1986,1181330,877243,121128,182959
WV,1987,1188848,871744,123734,193370
WV,1988,1248228,915425,131544,201258
WV,1989,1281627,932539,139427,209661
WV,1990,1210273,873485,129005,207783
WV,1991,1120236,802006,118823,199406
WV,1992,1148397,812735,137666,197995
WV,1993,1163557,821171,144246,198140
WV,1994,1253170,890802,155098,207270
WV,1995,1236188,871336,157816,207036
WV,1996,1264024,913619,164286,186119
WV,1997,1307333,937708,170349,199276
WV,1998,1343767,978340,151873,213553
WV,1999,1345028,993017,147675,204336
WV,2000,1342561,977817,157926,206819
WV,2001,1235368,866590,150543,218235
WV,2002,1377958,993467,155536,228956
WV,2003,1325468,978415,135367,211686
WV,2004,1296909,937062,129358,230488
WV,2005,1316091,959657,124984,231450
WV,2006,1321709,958880,126316,236513
WV,2007,1343473,983259,124555,235659
WV,2008,1297325,955628,119617,222080
WV,2009,1053756,742922,118643,192191
WV,2010,1165392,848129,121780,195483
WV,2011,1138880,822645,124935,191300
WV,2012,1083018,756716,140133,186169
WV,2013,1112101,771188,152880,188033
WV,2014,1182073,816460,180222,185391
WV,2015,1112174,730949,192764,188460
WY,1960,144230,15763,52828,75638
WY,1961,160805,20100,59326,81379
WY,1962,175811,23749,61189,90873
WY,1963,171840,30292,55041,86506
WY,1964,173345,32379,55437,85529
WY,1965,175900,34454,54805,86641
WY,1966,186576,41450,62891,82236
WY,1967,204586,39826,69619,95140
WY,1968,225053,43608,75649,105796
WY,1969,260691,55566,96068,109057
WY,1970,278746,63488,112526,102732
WY,1971,284863,58819,117938,108107
WY,1972,320327,80086,128728,111513
WY,1973,334788,102406,110445,121937
WY,1974,329080,109107,95363,124610
WY,1975,339219,128034,81434,129752
WY,1976,400955,179069,82478,139408
WY,1977,462396,230740,78354,153302
WY,1978,477743,228079,79758,169906
WY,1979,531018,268946,87157,174916
WY,1980,514754,268122,72982,173649
WY,1981,552024,318915,72895,160214
WY,1982,572187,333591,90586,148011
WY,1983,513665,313646,85247,114772
WY,1984,564656,359414,89666,115575
WY,1985,609096,405502,86031,117564
WY,1986,526121,336607,78424,111090
WY,1987,639716,428126,86042,125548
WY,1988,660818,445702,86422,128694
WY,1989,642153,425603,86716,129834
WY,1990,683993,459772,101316,122904
WY,1991,663089,450771,103129,109189
WY,1992,735114,491324,130703,113087
WY,1993,698493,467772,110499,120222
WY,1994,723337,490891,112252,120193
WY,1995,696670,463533,103848,129290
WY,1996,714562,474076,107588,132898
WY,1997,707658,468350,107907,131401
WY,1998,761791,516261,116505,129026
WY,1999,745714,496169,101660,147886
WY,2000,758020,506147,105975,145899
WY,2001,760665,499817,103990,156857
WY,2002,748034,480360,117387,150287
WY,2003,773608,493897,120433,159278
WY,2004,765533,500526,111878,153129
WY,2005,759172,490940,112863,155368
WY,2006,769251,489325,112929,166997
WY,2007,810515,494955,145985,169575
WY,2008,817404,500109,147129,170166
WY,2009,785244,473912,147220,164111
WY,2010,805249,484239,154759,166251
WY,2011,797696,467671,161776,168248
WY,2012,821218,490128,158546,172544
WY,2013,839917,520699,156110,163109
WY,2014,804581,489300,142268,173013
WY,2015,794307,487177,146985,160145
